[2025-07-21 15:33:45] - Event: Smoke | Confidence: 53.77% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 53.20% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 54.17% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 53.96% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 53.46% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 54.04% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 55.08% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 54.86% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 54.63% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 51.63% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 50.29% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 50.72% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 55.67% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 55.43% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 55.78% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 55.64% | Video: test1.mp4
[2025-07-21 15:33:46] - Event: Smoke | Confidence: 51.62% | Video: test1.mp4
[2025-07-21 15:33:47] - Event: Smoke | Confidence: 50.34% | Video: test1.mp4
[2025-07-21 15:33:47] - Event: Smoke | Confidence: 50.19% | Video: test1.mp4
[2025-07-21 15:33:47] - Event: Smoke | Confidence: 51.02% | Video: test1.mp4
[2025-07-21 15:33:47] - Event: Smoke | Confidence: 50.11% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 51.21% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 50.32% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 56.84% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 56.68% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 56.71% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 53.09% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 51.93% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 52.39% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 52.12% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 52.09% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 51.79% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 52.07% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 51.56% | Video: test1.mp4
[2025-07-21 15:33:48] - Event: Smoke | Confidence: 51.74% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 51.93% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 52.72% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 52.19% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 51.92% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 52.05% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 54.53% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 53.03% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 54.02% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 54.12% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 53.99% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 54.21% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 52.75% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 52.81% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 53.37% | Video: test1.mp4
[2025-07-21 15:33:49] - Event: Smoke | Confidence: 53.65% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 51.67% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 51.23% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 50.76% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 51.15% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 50.91% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 51.94% | Video: test1.mp4
[2025-07-21 15:33:50] - Event: Smoke | Confidence: 51.13% | Video: test1.mp4
